block_height,tx_count,get_hash_ms,fetch_tx_ms,serialize_send_ms,confirm_ms,total_ms
14,0,0,10,1,0,12
34,0,0,10,2,0,12
42,0,0,10,1,0,11
43,0,0,10,1,0,11
55,0,0,10,1,0,12
3,0,0,9,1,0,12
4,0,0,10,1,0,11
28,0,1,10,1,0,12
5,0,0,10,1,0,12
27,0,0,10,1,0,12
46,0,0,10,1,0,11
48,0,1,10,1,0,12
51,0,0,10,1,0,12
54,0,1,10,2,0,13
13,0,1,10,1,0,13
15,0,0,9,1,0,12
11,0,0,10,1,0,12
19,0,0,10,1,0,12
32,0,1,10,1,0,12
33,0,1,10,1,0,12
44,0,0,10,1,0,12
9,0,0,10,2,0,12
16,0,0,10,1,0,12
22,0,0,10,1,0,12
36,0,0,10,1,0,11
53,0,0,10,1,0,12
10,0,0,9,1,0,12
18,0,0,10,1,0,12
24,0,0,10,1,0,11
41,0,0,10,1,0,12
31,0,0,10,1,0,12
49,0,0,10,1,0,12
56,1000,0,41,213,0,257
6,0,0,10,1,0,12
7,0,0,10,0,0,11
26,0,1,10,1,0,12
38,0,1,10,1,0,12
17,0,0,10,1,0,12
23,0,0,10,1,0,12
39,0,0,10,1,0,12
40,0,1,9,1,0,12
57,0,0,11,0,0,13
8,0,0,10,1,0,12
25,0,1,10,1,0,12
29,0,1,10,1,0,12
35,0,1,10,1,0,12
47,0,1,9,1,0,12
52,0,0,10,1,0,12
12,0,0,10,1,0,12
20,0,0,10,1,0,12
21,0,1,10,1,0,12
30,0,1,10,1,0,12
37,0,1,9,1,0,12
45,0,1,9,1,0,12
50,0,1,10,1,0,12
